id;nome;siglaPartido;siglaUf;urlFoto
204379;Acácio Favacho;MDB;AP;https://www.camara.leg.br/internet/deputado/bandep/204379.jpg
220714;Adail Filho;MDB;AM;https://www.camara.leg.br/internet/deputado/bandep/220714.jpg
221328;Adilson Barroso;PL;SP;https://www.camara.leg.br/internet/deputado/bandep/221328.jpg
204560;Adolfo Viana;PSDB;BA;https://www.camara.leg.br/internet/deputado/bandep/204560.jpg
204528;Adriana Ventura;NOVO;SP;https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
121948;Adriano do Baldy;PP;GO;https://www.camara.leg.br/internet/deputado/bandep/121948.jpg
74646;Aécio Neves;PSDB;MG;https://www.camara.leg.br/internet/deputado/bandep/74646.jpg
160508;Afonso Florence;PT;BA;https://www.camara.leg.br/internet/deputado/bandep/160508.jpg
136811;Afonso Hamm;PP;RS;https://www.camara.leg.br/internet/deputado/bandep/136811.jpg
178835;Afonso Motta;PDT;RS;https://www.camara.leg.br/internet/deputado/bandep/178835.jpg
160527;Aguinaldo Ribeiro;PP;PB;https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
204495;Airton Faleiro;PT;PA;https://www.camara.leg.br/internet/deputado/bandep/204495.jpg
204549;AJ Albuquerque;PP;CE;https://www.camara.leg.br/internet/deputado/bandep/204549.jpg
73579;Alberto Fraga;PL;DF;https://www.camara.leg.br/internet/deputado/bandep/73579.jpg
220538;Albuquerque;REPUBLICANOS;RR;https://www.camara.leg.br/internet/deputado/bandep/220538.jpg
160559;Alceu Moreira;MDB;RS;https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
204501;Alencar Santana;PT;SP;https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
178972;Alex Manente;CIDADANIA;SP;https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
220542;Alexandre Guimarães;MDB;TO;https://www.camara.leg.br/internet/deputado/bandep/220542.jpg
160545;Alexandre Leite;UNIÃO;SP;https://www.camara.leg.br/internet/deputado/bandep/160545.jpg
220554;Alexandre Lindenmeyer;PT;RS;https://www.camara.leg.br/internet/deputado/bandep/220554.jpg
221148;Alfredinho;PT;SP;https://www.camara.leg.br/internet/deputado/bandep/221148.jpg
